epoch,train_loss,train_Acc,train_Sens,train_Spec,val_loss,val_Acc,val_Sens,val_Spec
0,0.1730,51.1719,78.9062,23.4375,0.6935,29.6875,12.5000,46.8750
1,0.1733,51.1719,92.9688,9.3750,0.6933,50.0000,100.0000,0.0000
2,0.1734,46.0938,75.0000,17.1875,0.6932,50.0000,0.0000,100.0000
3,0.1735,50.0000,48.4375,51.5625,0.6932,50.0000,0.0000,100.0000
4,0.1732,51.1719,45.3125,57.0312,0.6932,50.0000,0.0000,100.0000
5,0.1735,46.4844,52.3438,40.6250,0.6930,50.0000,0.0000,100.0000
6,0.1733,51.5625,53.9062,49.2188,0.6930,50.0000,0.0000,100.0000
7,0.1731,51.9531,39.8438,64.0625,0.6918,50.0000,0.0000,100.0000
8,0.1733,47.6562,26.5625,68.7500,0.6893,50.0000,0.0000,100.0000
9,0.1727,55.8594,52.3438,59.3750,0.6868,54.6875,34.3750,75.0000
10,0.1732,51.5625,53.9062,49.2188,0.6902,45.3125,25.0000,65.6250
11,0.1731,51.1719,46.0938,56.2500,0.6869,50.0000,0.0000,100.0000
12,0.1739,51.1719,32.0312,70.3125,0.6863,50.0000,0.0000,100.0000
13,0.1737,48.0469,29.6875,66.4062,0.6929,50.0000,0.0000,100.0000
14,0.1735,50.0000,32.8125,67.1875,0.6856,50.0000,0.0000,100.0000
15,0.1715,57.8125,49.2188,66.4062,0.6549,50.0000,0.0000,100.0000
16,0.1707,58.2031,53.9062,62.5000,0.6494,57.8125,28.1250,87.5000
17,0.1690,59.7656,56.2500,63.2812,0.6928,57.8125,34.3750,81.2500
18,0.1637,64.0625,80.4688,47.6562,0.8021,68.7500,43.7500,93.7500
19,0.1739,53.1250,87.5000,18.7500,0.6361,56.2500,37.5000,75.0000
20,0.1675,58.9844,69.5312,48.4375,0.9300,50.0000,0.0000,100.0000
21,0.1652,60.9375,82.0312,39.8438,0.6098,57.8125,28.1250,87.5000
22,0.1625,61.7188,78.1250,45.3125,0.6535,70.3125,56.2500,84.3750
23,0.1632,60.5469,90.6250,30.4688,1.0725,53.1250,15.6250,90.6250
24,0.1592,66.0156,81.2500,50.7812,0.7800,56.2500,28.1250,84.3750
25,0.1771,53.1250,82.8125,23.4375,0.6742,50.0000,0.0000,100.0000
26,0.1577,64.8438,65.6250,64.0625,0.6396,57.8125,40.6250,75.0000
27,0.1629,61.3281,72.6562,50.0000,0.6069,64.0625,53.1250,75.0000
28,0.1582,66.7969,78.1250,55.4688,0.6298,62.5000,37.5000,87.5000
29,0.1473,67.5781,71.8750,63.2812,0.6124,60.9375,31.2500,90.6250
30,0.1503,67.9688,65.6250,70.3125,0.8335,53.1250,21.8750,84.3750
31,0.1415,71.0938,69.5312,72.6562,0.5511,70.3125,50.0000,90.6250
32,0.1343,76.1719,75.0000,77.3438,0.4273,82.8125,68.7500,96.8750
33,0.1416,71.0938,64.8438,77.3438,0.8089,54.6875,15.6250,93.7500
34,0.1401,73.4375,73.4375,73.4375,0.6814,60.9375,25.0000,96.8750
35,0.1293,74.2188,67.1875,81.2500,0.6314,73.4375,46.8750,100.0000
36,0.1292,74.2188,71.0938,77.3438,0.4848,73.4375,59.3750,87.5000
37,0.1090,81.6406,79.6875,83.5938,1.1307,64.0625,28.1250,100.0000
38,0.1217,79.2969,77.3438,81.2500,0.5841,82.8125,71.8750,93.7500
39,0.1253,74.6094,75.0000,74.2188,0.6073,68.7500,46.8750,90.6250
40,0.1203,76.1719,74.2188,78.1250,0.6847,70.3125,50.0000,90.6250
41,0.1233,77.7344,75.7812,79.6875,0.3998,82.8125,81.2500,84.3750
42,0.1106,82.4219,80.4688,84.3750,1.1110,59.3750,34.3750,84.3750
43,0.0991,83.9844,79.6875,88.2812,0.6515,75.0000,56.2500,93.7500
44,0.0952,82.4219,80.4688,84.3750,0.8418,75.0000,59.3750,90.6250
45,0.0985,82.8125,82.0312,83.5938,0.4787,84.3750,75.0000,93.7500
46,0.1033,82.4219,74.2188,90.6250,0.4873,76.5625,62.5000,90.6250
47,0.1051,83.5938,83.5938,83.5938,0.7522,62.5000,28.1250,96.8750
48,0.1076,81.2500,77.3438,85.1562,0.4786,78.1250,56.2500,100.0000
49,0.1008,80.8594,74.2188,87.5000,0.5751,76.5625,56.2500,96.8750
50,0.1011,81.6406,80.4688,82.8125,0.4904,79.6875,62.5000,96.8750
51,0.1195,78.1250,71.0938,85.1562,0.5502,75.0000,56.2500,93.7500
52,0.0856,85.5469,82.0312,89.0625,0.4072,79.6875,65.6250,93.7500
53,0.0895,83.9844,79.6875,88.2812,0.5101,82.8125,68.7500,96.8750
54,0.0929,83.5938,82.8125,84.3750,0.6118,71.8750,46.8750,96.8750
55,0.0798,86.3281,78.9062,93.7500,0.4009,82.8125,78.1250,87.5000
56,0.0998,83.2031,82.8125,83.5938,0.5439,68.7500,50.0000,87.5000
57,0.0986,83.2031,78.1250,88.2812,0.4619,76.5625,53.1250,100.0000
58,0.0872,84.7656,79.6875,89.8438,0.4421,79.6875,62.5000,96.8750
59,0.0973,85.1562,82.8125,87.5000,0.4380,76.5625,62.5000,90.6250
60,0.0898,82.4219,75.7812,89.0625,0.7790,73.4375,50.0000,96.8750
61,0.1142,75.0000,61.7188,88.2812,0.5406,76.5625,59.3750,93.7500
