epoch,train_loss,train_Acc,train_Sens,train_Spec,val_loss,val_Acc,val_Sens,val_Spec
0,0.0868,49.6094,90.6250,8.5938,0.6932,50.0000,100.0000,0.0000
1,0.0867,49.2188,85.1562,13.2812,0.6936,50.0000,100.0000,0.0000
2,0.0866,50.3906,94.5312,6.2500,0.6935,50.0000,100.0000,0.0000
3,0.0867,49.6094,75.7812,23.4375,0.6931,50.0000,100.0000,0.0000
4,0.0866,53.5156,58.5938,48.4375,0.6929,50.0000,0.0000,100.0000
5,0.0869,48.8281,51.5625,46.0938,0.6931,50.0000,100.0000,0.0000
6,0.0868,48.0469,71.0938,25.0000,0.6931,50.0000,100.0000,0.0000
7,0.0865,52.7344,75.7812,29.6875,0.6937,50.0000,100.0000,0.0000
8,0.0868,44.9219,52.3438,37.5000,0.6931,53.1250,12.5000,93.7500
9,0.0866,50.0000,57.0312,42.9688,0.6929,50.0000,0.0000,100.0000
10,0.0865,51.9531,27.3438,76.5625,0.6951,50.0000,0.0000,100.0000
11,0.0873,48.0469,65.6250,30.4688,0.7014,40.6250,56.2500,25.0000
12,0.0870,45.7031,77.3438,14.0625,0.6956,43.7500,0.0000,87.5000
13,0.0863,53.5156,57.8125,49.2188,0.6932,50.0000,100.0000,0.0000
14,0.0852,59.3750,64.0625,54.6875,0.7006,53.1250,84.3750,21.8750
15,0.0868,55.8594,77.3438,34.3750,0.6823,51.5625,62.5000,40.6250
16,0.0865,51.5625,75.7812,27.3438,0.6922,50.0000,100.0000,0.0000
17,0.0862,49.6094,60.1562,39.0625,0.6907,60.9375,59.3750,62.5000
18,0.0847,58.5938,74.2188,42.9688,0.6853,59.3750,40.6250,78.1250
19,0.0854,59.3750,50.0000,68.7500,0.6802,50.0000,0.0000,100.0000
20,0.0861,55.8594,69.5312,42.1875,0.7183,50.0000,0.0000,100.0000
21,0.0853,58.9844,48.4375,69.5312,0.7481,42.1875,9.3750,75.0000
22,0.0830,60.5469,57.8125,63.2812,0.8432,50.0000,0.0000,100.0000
23,0.0870,57.0312,68.7500,45.3125,0.7033,50.0000,100.0000,0.0000
24,0.0827,58.9844,68.7500,49.2188,0.7240,50.0000,21.8750,78.1250
25,0.0851,56.6406,74.2188,39.0625,0.9770,50.0000,100.0000,0.0000
26,0.0827,57.4219,63.2812,51.5625,0.8070,50.0000,0.0000,100.0000
27,0.0791,67.1875,64.0625,70.3125,0.8314,51.5625,28.1250,75.0000
28,0.0808,65.2344,68.7500,61.7188,0.8297,51.5625,6.2500,96.8750
29,0.0819,63.2812,74.2188,52.3438,1.0382,53.1250,12.5000,93.7500
30,0.0792,62.5000,71.0938,53.9062,0.6282,78.1250,78.1250,78.1250
31,0.0804,60.9375,61.7188,60.1562,0.6590,68.7500,100.0000,37.5000
32,0.0797,64.4531,68.7500,60.1562,0.7361,50.0000,18.7500,81.2500
33,0.0816,60.5469,58.5938,62.5000,0.7618,45.3125,3.1250,87.5000
34,0.0800,60.1562,60.1562,60.1562,0.7192,56.2500,56.2500,56.2500
35,0.0809,63.2812,50.7812,75.7812,0.5533,70.3125,62.5000,78.1250
36,0.0804,67.1875,63.2812,71.0938,0.6614,60.9375,65.6250,56.2500
37,0.0758,64.0625,58.5938,69.5312,0.5583,75.0000,71.8750,78.1250
38,0.0767,65.2344,67.9688,62.5000,0.6499,60.9375,100.0000,21.8750
39,0.0750,64.8438,77.3438,52.3438,0.6691,60.9375,40.6250,81.2500
40,0.0783,62.8906,57.0312,68.7500,0.6812,56.2500,93.7500,18.7500
41,0.0715,73.4375,82.0312,64.8438,0.5935,78.1250,100.0000,56.2500
42,0.0754,69.5312,68.7500,70.3125,0.5177,79.6875,81.2500,78.1250
43,0.0756,67.9688,64.8438,71.0938,0.6397,57.8125,21.8750,93.7500
