Group,Path,Label,Height
train,../Data/TRC/0/436_2.50.npy,False,29
train,../Data/Qazvin/2/119_5.00.npy,True,66
test,../Data/Baghiat/1/++/11_1.25.npy,True,112
train,../Data/TRC/0/53_5.00.npy,False,28
train,../Data/Baghiat/1/++/125_5.00.npy,True,36
train,../Data/Qazvin/2/111_5.00.npy,True,464
test,../Data/Rasoul/1/new_data_pcr+/29_2.00.npy,True,161
test,../Data/Rasoul/1/new_data_pcr+/3_7.50.npy,True,32
test,../Data/Rasoul/1/clinical/441_2.00.npy,True,38
val,../Data/TRC/0/174_5.00.npy,False,118
test,../Data/Rasoul/1/clinical/372_2.00.npy,True,66
test,../Data/Baghiat/1/++/116_1.25.npy,True,134
train,../Data/Rasoul/1/clinical/13_2.00.npy,True,49
test,../Data/Rasoul/1/clinical/105_2.00.npy,True,40
train,../Data/Qazvin/2/166_5.00.npy,True,205
train,../Data/Qazvin/2/101_2.00.npy,True,57
train,../Data/TRC/0/369_5.00.npy,False,224
test,../Data/TRC/0/410_5.00.npy,False,67
test,../Data/Qazvin/2/72_5.00.npy,True,66
train,../Data/Kerman/2/abn/202_3.00.npy,True,50
train,../Data/TRC/0/423_2.50.npy,False,196
test,../Data/TRC/0/100_2.50.npy,False,43
train,../Data/Baghiat/1/++/52_5.00.npy,True,145
train,../Data/TRC/0/402_2.50.npy,False,113
train,../Data/TRC/0/349_5.00.npy,False,131
train,../Data/Rasoul/1/clinical/581_2.00.npy,True,117
train,../Data/Rasoul/1/clinical/495_2.00.npy,True,127
train,../Data/Rasoul/1/clinical/15_7.50.npy,True,166
train,../Data/Rasoul/1/clinical/193_7.50.npy,True,31
train,../Data/TRC/0/331_2.50.npy,False,163
val,../Data/TRC/0/163_5.00.npy,False,173
train,../Data/TRC/0/11_2.50.npy,False,213
train,../Data/Qazvin/2/90_5.00.npy,True,189
train,../Data/Kerman/2/abn/207_3.00.npy,True,53
train,../Data/TRC/0/112_2.50.npy,False,225
train,../Data/TRC/0/57_5.00.npy,False,112
